IGBP iq    i     j    rlong      rlat  iveg frac-c4
   432    48     9    125.11    -40.07   0  0.00
   433     1    10    236.63    -40.67   0  0.00
   434     2    10    235.80    -42.01   0  0.00
   435     3    10    234.86    -43.34   0  0.00
   436     4    10    233.82    -44.64   0  0.00
   437     5    10    232.67    -45.93   0  0.00
   438     6    10    231.40    -47.19   0  0.00
   439     7    10    230.01    -48.44   0  0.00
   440     8    10    228.48    -49.67   0  0.00
   441     9    10    226.82    -50.87   0  0.00
   442    10    10    225.00    -52.05   0  0.00
   443    11    10    223.03    -53.19   0  0.00
   444    12    10    220.90    -54.31   0  0.00
   445    13    10    218.60    -55.38   0  0.00
   446    14    10    216.12    -56.40   0  0.00
   447    15    10    213.45    -57.37   0  0.00
   448    16    10    210.61    -58.28   0  0.00
   449    17    10    207.57    -59.11   0  0.00
   450    18    10    204.35    -59.87   0  0.00
   451    19    10    200.96    -60.54   0  0.00
   452    20    10    197.40    -61.11   0  0.00
   453    21    10    193.70    -61.58   0  0.00
   454    22    10    189.88    -61.94   0  0.00
   455    23    10    185.96    -62.19   0  0.00
   456    24    10    181.99    -62.31   0  0.00
   457    25    10    178.01    -62.31   0  0.00
   458    26    10    174.04    -62.19   0  0.00
   459    27    10    170.12    -61.94   0  0.00
   460    28    10    166.30    -61.58   0  0.00
   461    29    10    162.60    -61.11   0  0.00
   462    30    10    159.04    -60.54   0  0.00
   463    31    10    155.65    -59.87   0  0.00
   464    32    10    152.43    -59.11   0  0.00
   465    33    10    149.39    -58.28   0  0.00
   466    34    10    146.55    -57.37   0  0.00
   467    35    10    143.88    -56.40   0  0.00
   468    36    10    141.40    -55.38   0  0.00
   469    37    10    139.10    -54.31   0  0.00
   470    38    10    136.97    -53.19   0  0.00
   471    39    10    135.00    -52.05   0  0.00
   472    40    10    133.18    -50.87   0  0.00
   473    41    10    131.52    -49.67   0  0.00
   474    42    10    129.99    -48.44   0  0.00
   475    43    10    128.60    -47.19   0  0.00
   476    44    10    127.33    -45.93   0  0.00
   477    45    10    126.18    -44.64   0  0.00
   478    46    10    125.14    -43.34   0  0.00
   479    47    10    124.20    -42.01   0  0.00
   480    48    10    123.37    -40.67   0  0.00
   481     1    11    238.46    -41.26   0  0.00
   482     2    11    237.64    -42.66   0  0.00
   483     3    11    236.72    -44.04   0  0.00
   484     4    11    235.70    -45.41   0  0.00
   485     5    11    234.57    -46.76   0  0.00
   486     6    11    233.32    -48.08   0  0.00
   487     7    11    231.94    -49.39   0  0.00
   488     8    11    230.43    -50.69   0  0.00
   489     9    11    228.78    -51.95   0  0.00
   490    10    11    226.97    -53.19   0  0.00
   491    11    11    225.00    -54.41   0  0.00
   492    12    11    222.86    -55.58   0  0.00
   493    13    11    220.53    -56.72   0  0.00
   494    14    11    218.01    -57.81   0  0.00
   495    15    11    215.29    -58.84   0  0.00
   496    16    11    212.37    -59.81   0  0.00
